dataset_name,model_name,base_model_code,constraint_code,train_test_fold,train_test_seed,random_seed,train_fractions,train_error,train_violation,train_EqualizedOdds,train_di,train_TPRB,train_TNRB,train_f1,train_precision,train_recall,test_error,test_violation,test_EqualizedOdds,test_di,test_TPRB,test_TNRB,test_f1,test_precision,test_recall,time,phase,metrics_time
adult,LogisticRegression,,,0,40,40,1,0.146911134657023,0.1198672997832978,0.0784191594729071,0.307436924036187,0.0922983441938494,0.0741834361019683,0.6662480376766091,0.7354436229205176,0.6089535106179453,0.1494379952091395,0.1229733412787501,0.1058257454964557,0.288131922005571,0.1245513276576926,0.0767100154808775,0.6589571068124475,0.7315592903828197,0.5994644223412395,0.767967,train,
adult,LogisticRegression,,,0,40,40,1,0.146911134657023,0.1198672997832978,0.0784191594729071,0.307436924036187,0.0922983441938494,0.0741834361019683,0.6662480376766091,0.7354436229205176,0.6089535106179453,0.1494379952091395,0.1229733412787501,0.1058257454964557,0.288131922005571,0.1245513276576926,0.0767100154808775,0.6589571068124475,0.7315592903828197,0.5994644223412395,0.817726,evaluation,"[{'metric': 'train_prediction', 'time': 0.032222}, {'metric': 'train_error', 'time': 0.066694}, {'metric': 'train_violation', 'time': 0.165965}, {'metric': 'train_EqualizedOdds', 'time': 0.173537}, {'metric': 'train_di', 'time': 0.000543}, {'metric': 'train_TPRB', 'time': 0.019131}, {'metric': 'train_TNRB', 'time': 0.010013}, {'metric': 'train_f1', 'time': 0.017286}, {'metric': 'train_precision', 'time': 0.031769}, {'metric': 'train_recall', 'time': 0.032122}, {'metric': 'test_prediction', 'time': 0.014648}, {'metric': 'test_error', 'time': 0.039187}, {'metric': 'test_violation', 'time': 0.08464}, {'metric': 'test_EqualizedOdds', 'time': 0.084714}, {'metric': 'test_di', 'time': 0.0}, {'metric': 'test_TPRB', 'time': 0.013162}, {'metric': 'test_TNRB', 'time': 0.0}, {'metric': 'test_f1', 'time': 0.016022}, {'metric': 'test_precision', 'time': 0.012021}, {'metric': 'test_recall', 'time': 0.00405}]"
adult,LogisticRegression,,,1,40,41,1,0.1474178836320081,0.1247999661170844,0.1096423395649229,0.2812329889881796,0.1290476264142878,0.0778486074000395,0.6638655462184874,0.7360819939436292,0.6045532810407499,0.1458448498249493,0.1182314980344332,0.0768391378581955,0.3115425538273936,0.090435617452194,0.0711801559450781,0.6677859391395593,0.7396559739655973,0.608645753634277,0.648122,train,
adult,LogisticRegression,,,1,40,41,1,0.1474178836320081,0.1247999661170844,0.1096423395649229,0.2812329889881796,0.1290476264142878,0.0778486074000395,0.6638655462184874,0.7360819939436292,0.6045532810407499,0.1458448498249493,0.1182314980344332,0.0768391378581955,0.3115425538273936,0.090435617452194,0.0711801559450781,0.6677859391395593,0.7396559739655973,0.608645753634277,0.682884,evaluation,"[{'metric': 'train_prediction', 'time': 0.016557}, {'metric': 'train_error', 'time': 0.053676}, {'metric': 'train_violation', 'time': 0.123245}, {'metric': 'train_EqualizedOdds', 'time': 0.13842}, {'metric': 'train_di', 'time': 0.0}, {'metric': 'train_TPRB', 'time': 0.015622}, {'metric': 'train_TNRB', 'time': 0.015621}, {'metric': 'train_f1', 'time': 0.017368}, {'metric': 'train_precision', 'time': 0.036196}, {'metric': 'train_recall', 'time': 0.025643}, {'metric': 'test_prediction', 'time': 0.015797}, {'metric': 'test_error', 'time': 0.017681}, {'metric': 'test_violation', 'time': 0.061249}, {'metric': 'test_EqualizedOdds', 'time': 0.096823}, {'metric': 'test_di', 'time': 0.001255}, {'metric': 'test_TPRB', 'time': 0.00721}, {'metric': 'test_TNRB', 'time': 0.00801}, {'metric': 'test_f1', 'time': 0.015614}, {'metric': 'test_precision', 'time': 0.012084}, {'metric': 'test_recall', 'time': 0.002991}]"
adult,LogisticRegression,,,2,40,42,1,0.1463055094895891,0.12149491888540379,0.09769376483254189,0.29216003779808225,0.11498041480065946,0.07388079656027913,0.6654024441635061,0.7406191369606003,0.6040550879877582,0.15120243250714088,0.12290572659522309,0.08824345682041934,0.2934873671938792,0.10386493363592608,0.08070357837194453,0.6563350785340314,0.7247918593894542,0.5996938384998086,0.554902,train,
adult,LogisticRegression,,,2,40,42,1,0.1463055094895891,0.12149491888540379,0.09769376483254189,0.29216003779808225,0.11498041480065946,0.07388079656027913,0.6654024441635061,0.7406191369606003,0.6040550879877582,0.15120243250714088,0.12290572659522309,0.08824345682041934,0.2934873671938792,0.10386493363592608,0.08070357837194453,0.6563350785340314,0.7247918593894542,0.5996938384998086,0.682456,evaluation,"[{'metric': 'train_prediction', 'time': 0.015627}, {'metric': 'train_error', 'time': 0.063032}, {'metric': 'train_violation', 'time': 0.113577}, {'metric': 'train_EqualizedOdds', 'time': 0.109214}, {'metric': 'train_di', 'time': 0.0}, {'metric': 'train_TPRB', 'time': 0.025159}, {'metric': 'train_TNRB', 'time': 0.022589}, {'metric': 'train_f1', 'time': 0.014013}, {'metric': 'train_precision', 'time': 0.01563}, {'metric': 'train_recall', 'time': 0.015622}, {'metric': 'test_prediction', 'time': 0.020353}, {'metric': 'test_error', 'time': 0.026635}, {'metric': 'test_violation', 'time': 0.079541}, {'metric': 'test_EqualizedOdds', 'time': 0.095581}, {'metric': 'test_di', 'time': 0.0}, {'metric': 'test_TPRB', 'time': 0.01562}, {'metric': 'test_TNRB', 'time': 0.01601}, {'metric': 'test_f1', 'time': 0.016982}, {'metric': 'test_precision', 'time': 0.017271}, {'metric': 'test_recall', 'time': 0.0}]"
